jjSASKSQSJ	(2) royal straight flush!
SAHKHQCKDQ	(7) 2 pairs
SAHKHQCKDJ	(8) 1 pair
SAHKHQCQCJ	(8) 1 pair
SAHKHQCQDA	(7) 2 pairs
SAHKHQCQDK	(7) 2 pairs
SAHKHQCQDQ	(6) 3 cards
SAHKHQCQDJ	(8) 1 pair
SAHKHQCJDA	(8) 1 pair
SAHKHQCJDK	(8) 1 pair
SAHKHQCJDQ	(8) 1 pair
SAHKHQCJDJ	(8) 1 pair
SAHKHQDADK	(7) 2 pairs
SAHKHQDADQ	(7) 2 pairs
SAHKHQDADJ	(8) 1 pair
SAHKHQDKDQ	(7) 2 pairs
SAHKHQDKDJ	(8) 1 pair
SAHKHQDQDJ	(8) 1 pair
SAHKHJCACK	(7) 2 pairs
SAHKHJCACQ	(8) 1 pair
SAHKHJCACJ	(7) 2 pairs
SAHKHJCADA	(6) 3 cards
SAHKHJCADK	(7) 2 pairs
SAHKHJCADQ	(8) 1 pair
SAHKHJCADJ	(7) 2 pairs
SAHKHJCKCQ	(8) 1 pair
SAHKHJCKCJ	(7) 2 pairs
SAHKHJCKDA	(7) 2 pairs
SAHKHJCKDK	(6) 3 cards
SAHKHJCKDQ	(8) 1 pair
SAHKHJCKDJ	(7) 2 pairs
SAHKHJCQCJ	(8) 1 pair
SAHKHJCQDA	(8) 1 pair
SAHKHJCQDK	(8) 1 pair
SAHKHJCQDQ	(8) 1 pair
SAHKHJCQDJ	(8) 1 pair
SAHKHJCJDA	(7) 2 pairs
SAHKHJCJDK	(7) 2 pairs
SAHKHJCJDQ	(8) 1 pair
SAHKHJCJDJ	(6) 3 cards
SAHKHJDADK	(7) 2 pairs
SAHKHJDADQ	(8) 1 pair
SAHKHJDADJ	(7) 2 pairs
SAHKHJDKDQ	(8) 1 pair
SAHKHJDKDJ	(7) 2 pairs
SAHKHJDQDJ	(8) 1 pair
SAHKCACKCQ	(7) 2 pairs
SAHKCACKCJ	(7) 2 pairs
SAHKCACKDA	(4) full house
SAHKCACKDK	(4) full house
SAHKCACKDQ	(7) 2 pairs
SAHKCACKDJ	(7) 2 pairs
SAHKCACQCJ	(8) 1 pair
SAHKCACQDA	(6) 3 cards
SAHKCACQDK	(7) 2 pairs
SAHKCACQDQ	(7) 2 pairs
SAHKCACQDJ	(8) 1 pair
SAHKCACJDA	(6) 3 cards
SAHKCACJDK	(7) 2 pairs
SAHKCACJDQ	(8) 1 pair
SAHKCACJDJ	(7) 2 pairs
SAHKCADADK	(4) full house
SAHKCADADQ	(6) 3 cards
SAHKCADADJ	(6) 3 cards
SAHKCADKDQ	(7) 2 pairs
SAHKCADKDJ	(7) 2 pairs
SAHKCADQDJ	(8) 1 pair
SAHKCKCQCJ	(8) 1 pair
SAHKCKCQDA	(7) 2 pairs
SAHKCKCQDK	(6) 3 cards
SAHKCKCQDQ	(7) 2 pairs
SAHKCKCQDJ	(8) 1 pair
SAHKCKCJDA	(7) 2 pairs
SAHKCKCJDK	(6) 3 cards
SAHKCKCJDQ	(8) 1 pair
SAHKCKCJDJ	(7) 2 pairs
SAHKCKDADK	(4) full house
SAHKCKDADQ	(7) 2 pairs
SAHKCKDADJ	(7) 2 pairs
SAHKCKDKDQ	(6) 3 cards
SAHKCKDKDJ	(6) 3 cards
SAHKCKDQDJ	(8) 1 pair
SAHKCQCJDA	(8) 1 pair
SAHKCQCJDK	(8) 1 pair
SAHKCQCJDQ	(8) 1 pair
SAHKCQCJDJ	(8) 1 pair
SAHKCQDADK	(7) 2 pairs
SAHKCQDADQ	(7) 2 pairs
SAHKCQDADJ	(8) 1 pair
SAHKCQDKDQ	(7) 2 pairs
SAHKCQDKDJ	(8) 1 pair
SAHKCQDQDJ	(8) 1 pair
SAHKCJDADK	(7) 2 pairs
SAHKCJDADQ	(8) 1 pair
SAHKCJDADJ	(7) 2 pairs
SAHKCJDKDQ	(8) 1 pair
SAHKCJDKDJ	(7) 2 pairs
SAHKCJDQDJ	(8) 1 pair
SAHKDADKDQ	(7) 2 pairs
SAHKDADKDJ	(7) 2 pairs
SAHKDADQDJ	(8) 1 pair
SAHKDKDQDJ	(8) 1 pair
SAHQHJCACK	(8) 1 pair
SAHQHJCACQ	(7) 2 pairs
SAHQHJCACJ	(7) 2 pairs
SAHQHJCADA	(6) 3 cards
SAHQHJCADK	(8) 1 pair
SAHQHJCADQ	(7) 2 pairs
SAHQHJCADJ	(7) 2 pairs
SAHQHJCKCQ	(8) 1 pair
SAHQHJCKCJ	(8) 1 pair
SAHQHJCKDA	(8) 1 pair
SAHQHJCKDK	(8) 1 pair
SAHQHJCKDQ	(8) 1 pair
SAHQHJCKDJ	(8) 1 pair
SAHQHJCQCJ	(7) 2 pairs
SAHQHJCQDA	(7) 2 pairs
SAHQHJCQDK	(8) 1 pair
SAHQHJCQDQ	(6) 3 cards
SAHQHJCQDJ	(7) 2 pairs
SAHQHJCJDA	(7) 2 pairs
SAHQHJCJDK	(8) 1 pair
SAHQHJCJDQ	(7) 2 pairs
SAHQHJCJDJ	(6) 3 cards
SAHQHJDADK	(8) 1 pair
SAHQHJDADQ	(7) 2 pairs
SAHQHJDADJ	(7) 2 pairs
SAHQHJDKDQ	(8) 1 pair
SAHQHJDKDJ	(8) 1 pair
SAHQHJDQDJ	(7) 2 pairs
SAHQCACKCQ	(7) 2 pairs
SAHQCACKCJ	(8) 1 pair
SAHQCACKDA	(6) 3 cards
SAHQCACKDK	(7) 2 pairs
SAHQCACKDQ	(7) 2 pairs
SAHQCACKDJ	(8) 1 pair
SAHQCACQCJ	(7) 2 pairs
SAHQCACQDA	(4) full house
SAHQCACQDK	(7) 2 pairs
SAHQCACQDQ	(4) full house
SAHQCACQDJ	(7) 2 pairs
SAHQCACJDA	(6) 3 cards
SAHQCACJDK	(8) 1 pair
SAHQCACJDQ	(7) 2 pairs
SAHQCACJDJ	(7) 2 pairs
SAHQCADADK	(6) 3 cards
SAHQCADADQ	(4) full house
SAHQCADADJ	(6) 3 cards
SAHQCADKDQ	(7) 2 pairs
SAHQCADKDJ	(8) 1 pair
SAHQCADQDJ	(7) 2 pairs
SAHQCKCQCJ	(8) 1 pair
SAHQCKCQDA	(7) 2 pairs
SAHQCKCQDK	(7) 2 pairs
SAHQCKCQDQ	(6) 3 cards
SAHQCKCQDJ	(8) 1 pair
SAHQCKCJDA	(8) 1 pair
SAHQCKCJDK	(8) 1 pair
SAHQCKCJDQ	(8) 1 pair
SAHQCKCJDJ	(8) 1 pair
SAHQCKDADK	(7) 2 pairs
SAHQCKDADQ	(7) 2 pairs
SAHQCKDADJ	(8) 1 pair
SAHQCKDKDQ	(7) 2 pairs
SAHQCKDKDJ	(8) 1 pair
SAHQCKDQDJ	(8) 1 pair
SAHQCQCJDA	(7) 2 pairs
SAHQCQCJDK	(8) 1 pair
SAHQCQCJDQ	(6) 3 cards
SAHQCQCJDJ	(7) 2 pairs
SAHQCQDADK	(7) 2 pairs
SAHQCQDADQ	(4) full house
SAHQCQDADJ	(7) 2 pairs
SAHQCQDKDQ	(6) 3 cards
SAHQCQDKDJ	(8) 1 pair
SAHQCQDQDJ	(6) 3 cards
SAHQCJDADK	(8) 1 pair
SAHQCJDADQ	(7) 2 pairs
SAHQCJDADJ	(7) 2 pairs
SAHQCJDKDQ	(8) 1 pair
SAHQCJDKDJ	(8) 1 pair
SAHQCJDQDJ	(7) 2 pairs
SAHQDADKDQ	(7) 2 pairs
SAHQDADKDJ	(8) 1 pair
SAHQDADQDJ	(7) 2 pairs
SAHQDKDQDJ	(8) 1 pair
SAHJCACKCQ	(8) 1 pair
SAHJCACKCJ	(7) 2 pairs
SAHJCACKDA	(6) 3 cards
SAHJCACKDK	(7) 2 pairs
SAHJCACKDQ	(8) 1 pair
SAHJCACKDJ	(7) 2 pairs
SAHJCACQCJ	(7) 2 pairs
SAHJCACQDA	(6) 3 cards
SAHJCACQDK	(8) 1 pair
SAHJCACQDQ	(7) 2 pairs
SAHJCACQDJ	(7) 2 pairs
SAHJCACJDA	(4) full house
SAHJCACJDK	(7) 2 pairs
SAHJCACJDQ	(7) 2 pairs
SAHJCACJDJ	(4) full house
SAHJCADADK	(6) 3 cards
SAHJCADADQ	(6) 3 cards
SAHJCADADJ	(4) full house
SAHJCADKDQ	(8) 1 pair
SAHJCADKDJ	(7) 2 pairs
SAHJCADQDJ	(7) 2 pairs
SAHJCKCQCJ	(8) 1 pair
SAHJCKCQDA	(8) 1 pair
SAHJCKCQDK	(8) 1 pair
SAHJCKCQDQ	(8) 1 pair
SAHJCKCQDJ	(8) 1 pair
SAHJCKCJDA	(7) 2 pairs
SAHJCKCJDK	(7) 2 pairs
SAHJCKCJDQ	(8) 1 pair
SAHJCKCJDJ	(6) 3 cards
SAHJCKDADK	(7) 2 pairs
SAHJCKDADQ	(8) 1 pair
SAHJCKDADJ	(7) 2 pairs
SAHJCKDKDQ	(8) 1 pair
SAHJCKDKDJ	(7) 2 pairs
SAHJCKDQDJ	(8) 1 pair
SAHJCQCJDA	(7) 2 pairs
SAHJCQCJDK	(8) 1 pair
SAHJCQCJDQ	(7) 2 pairs
SAHJCQCJDJ	(6) 3 cards
SAHJCQDADK	(8) 1 pair
SAHJCQDADQ	(7) 2 pairs
SAHJCQDADJ	(7) 2 pairs
SAHJCQDKDQ	(8) 1 pair
SAHJCQDKDJ	(8) 1 pair
SAHJCQDQDJ	(7) 2 pairs
SAHJCJDADK	(7) 2 pairs
SAHJCJDADQ	(7) 2 pairs
SAHJCJDADJ	(4) full house
SAHJCJDKDQ	(8) 1 pair
SAHJCJDKDJ	(6) 3 cards
SAHJCJDQDJ	(6) 3 cards
SAHJDADKDQ	(8) 1 pair
SAHJDADKDJ	(7) 2 pairs
SAHJDADQDJ	(7) 2 pairs
SAHJDKDQDJ	(8) 1 pair
SACACKCQCJ	(8) 1 pair
SACACKCQDA	(6) 3 cards
SACACKCQDK	(7) 2 pairs
SACACKCQDQ	(7) 2 pairs
SACACKCQDJ	(8) 1 pair
SACACKCJDA	(6) 3 cards
SACACKCJDK	(7) 2 pairs
SACACKCJDQ	(8) 1 pair
SACACKCJDJ	(7) 2 pairs
SACACKDADK	(4) full house
SACACKDADQ	(6) 3 cards
SACACKDADJ	(6) 3 cards
SACACKDKDQ	(7) 2 pairs
SACACKDKDJ	(7) 2 pairs
SACACKDQDJ	(8) 1 pair
SACACQCJDA	(6) 3 cards
SACACQCJDK	(8) 1 pair
SACACQCJDQ	(7) 2 pairs
SACACQCJDJ	(7) 2 pairs
SACACQDADK	(6) 3 cards
SACACQDADQ	(4) full house
SACACQDADJ	(6) 3 cards
SACACQDKDQ	(7) 2 pairs
SACACQDKDJ	(8) 1 pair
SACACQDQDJ	(7) 2 pairs
SACACJDADK	(6) 3 cards
SACACJDADQ	(6) 3 cards
SACACJDADJ	(4) full house
SACACJDKDQ	(8) 1 pair
SACACJDKDJ	(7) 2 pairs
SACACJDQDJ	(7) 2 pairs
SACADADKDQ	(6) 3 cards
SACADADKDJ	(6) 3 cards
SACADADQDJ	(6) 3 cards
SACADKDQDJ	(8) 1 pair
SACKCQCJDA	(8) 1 pair
SACKCQCJDK	(8) 1 pair
SACKCQCJDQ	(8) 1 pair
SACKCQCJDJ	(8) 1 pair
SACKCQDADK	(7) 2 pairs
SACKCQDADQ	(7) 2 pairs
SACKCQDADJ	(8) 1 pair
SACKCQDKDQ	(7) 2 pairs
SACKCQDKDJ	(8) 1 pair
SACKCQDQDJ	(8) 1 pair
SACKCJDADK	(7) 2 pairs
SACKCJDADQ	(8) 1 pair
SACKCJDADJ	(7) 2 pairs
SACKCJDKDQ	(8) 1 pair
SACKCJDKDJ	(7) 2 pairs
SACKCJDQDJ	(8) 1 pair
SACKDADKDQ	(7) 2 pairs
SACKDADKDJ	(7) 2 pairs
SACKDADQDJ	(8) 1 pair
SACKDKDQDJ	(8) 1 pair
SACQCJDADK	(8) 1 pair
SACQCJDADQ	(7) 2 pairs
SACQCJDADJ	(7) 2 pairs
SACQCJDKDQ	(8) 1 pair
SACQCJDKDJ	(8) 1 pair
SACQCJDQDJ	(7) 2 pairs
SACQDADKDQ	(7) 2 pairs
SACQDADKDJ	(8) 1 pair
SACQDADQDJ	(7) 2 pairs
SACQDKDQDJ	(8) 1 pair
SACJDADKDQ	(8) 1 pair
SACJDADKDJ	(7) 2 pairs
SACJDADQDJ	(7) 2 pairs
SACJDKDQDJ	(8) 1 pair
SADADKDQDJ	(8) 1 pair
SKSQSJHAHK	(8) 1 pair
SKSQSJHAHQ	(8) 1 pair
SKSQSJHAHJ	(8) 1 pair
SKSQSJHACA	(8) 1 pair
SKSQSJHACK	(8) 1 pair
SKSQSJHACQ	(8) 1 pair
SKSQSJHACJ	(8) 1 pair
SKSQSJHADA	(8) 1 pair
SKSQSJHADK	(8) 1 pair
SKSQSJHADQ	(8) 1 pair
SKSQSJHADJ	(8) 1 pair
SKSQSJHKHQ	(7) 2 pairs
SKSQSJHKHJ	(7) 2 pairs
SKSQSJHKCA	(8) 1 pair
SKSQSJHKCK	(6) 3 cards
SKSQSJHKCQ	(7) 2 pairs
SKSQSJHKCJ	(7) 2 pairs
SKSQSJHKDA	(8) 1 pair
SKSQSJHKDK	(6) 3 cards
SKSQSJHKDQ	(7) 2 pairs
SKSQSJHKDJ	(7) 2 pairs
SKSQSJHQHJ	(7) 2 pairs
SKSQSJHQCA	(8) 1 pair
SKSQSJHQCK	(7) 2 pairs
SKSQSJHQCQ	(6) 3 cards
SKSQSJHQCJ	(7) 2 pairs
SKSQSJHQDA	(8) 1 pair
SKSQSJHQDK	(7) 2 pairs
SKSQSJHQDQ	(6) 3 cards
SKSQSJHQDJ	(7) 2 pairs
SKSQSJHJCA	(8) 1 pair
SKSQSJHJCK	(7) 2 pairs
SKSQSJHJCQ	(7) 2 pairs
SKSQSJHJCJ	(6) 3 cards
SKSQSJHJDA	(8) 1 pair
SKSQSJHJDK	(7) 2 pairs
SKSQSJHJDQ	(7) 2 pairs
SKSQSJHJDJ	(6) 3 cards
SKSQSJCACK	(8) 1 pair
SKSQSJCACQ	(8) 1 pair
SKSQSJCACJ	(8) 1 pair
SKSQSJCADA	(8) 1 pair
SKSQSJCADK	(8) 1 pair
SKSQSJCADQ	(8) 1 pair
SKSQSJCADJ	(8) 1 pair
SKSQSJCKCQ	(7) 2 pairs
SKSQSJCKCJ	(7) 2 pairs
SKSQSJCKDA	(8) 1 pair
SKSQSJCKDK	(6) 3 cards
SKSQSJCKDQ	(7) 2 pairs
SKSQSJCKDJ	(7) 2 pairs
SKSQSJCQCJ	(7) 2 pairs
SKSQSJCQDA	(8) 1 pair
SKSQSJCQDK	(7) 2 pairs
SKSQSJCQDQ	(6) 3 cards
SKSQSJCQDJ	(7) 2 pairs
SKSQSJCJDA	(8) 1 pair
SKSQSJCJDK	(7) 2 pairs
SKSQSJCJDQ	(7) 2 pairs
SKSQSJCJDJ	(6) 3 cards
SKSQSJDADK	(8) 1 pair
SKSQSJDADQ	(8) 1 pair
SKSQSJDADJ	(8) 1 pair
SKSQSJDKDQ	(7) 2 pairs
SKSQSJDKDJ	(7) 2 pairs
SKSQSJDQDJ	(7) 2 pairs
SKSQHAHKHQ	(7) 2 pairs
SKSQHAHKHJ	(8) 1 pair
SKSQHAHKCA	(7) 2 pairs
SKSQHAHKCK	(6) 3 cards
SKSQHAHKCQ	(7) 2 pairs
SKSQHAHKCJ	(8) 1 pair
SKSQHAHKDA	(7) 2 pairs
SKSQHAHKDK	(6) 3 cards
SKSQHAHKDQ	(7) 2 pairs
SKSQHAHKDJ	(8) 1 pair
SKSQHAHQHJ	(8) 1 pair
SKSQHAHQCA	(7) 2 pairs
SKSQHAHQCK	(7) 2 pairs
SKSQHAHQCQ	(6) 3 cards
SKSQHAHQCJ	(8) 1 pair
SKSQHAHQDA	(7) 2 pairs
SKSQHAHQDK	(7) 2 pairs
SKSQHAHQDQ	(6) 3 cards
SKSQHAHQDJ	(8) 1 pair
SKSQHAHJCA	(8) 1 pair
SKSQHAHJCK	(8) 1 pair
SKSQHAHJCQ	(8) 1 pair
SKSQHAHJCJ	(8) 1 pair
SKSQHAHJDA	(8) 1 pair
SKSQHAHJDK	(8) 1 pair
SKSQHAHJDQ	(8) 1 pair
SKSQHAHJDJ	(8) 1 pair
SKSQHACACK	(7) 2 pairs
SKSQHACACQ	(7) 2 pairs
SKSQHACACJ	(8) 1 pair
SKSQHACADA	(6) 3 cards
SKSQHACADK	(7) 2 pairs
SKSQHACADQ	(7) 2 pairs
SKSQHACADJ	(8) 1 pair
SKSQHACKCQ	(7) 2 pairs
SKSQHACKCJ	(8) 1 pair
SKSQHACKDA	(7) 2 pairs
SKSQHACKDK	(6) 3 cards
SKSQHACKDQ	(7) 2 pairs
SKSQHACKDJ	(8) 1 pair
SKSQHACQCJ	(8) 1 pair
SKSQHACQDA	(7) 2 pairs
SKSQHACQDK	(7) 2 pairs
SKSQHACQDQ	(6) 3 cards
SKSQHACQDJ	(8) 1 pair
SKSQHACJDA	(8) 1 pair
SKSQHACJDK	(8) 1 pair
SKSQHACJDQ	(8) 1 pair
SKSQHACJDJ	(8) 1 pair
SKSQHADADK	(7) 2 pairs
SKSQHADADQ	(7) 2 pairs
SKSQHADADJ	(8) 1 pair
SKSQHADKDQ	(7) 2 pairs
SKSQHADKDJ	(8) 1 pair
SKSQHADQDJ	(8) 1 pair
SKSQHKHQHJ	(7) 2 pairs
SKSQHKHQCA	(7) 2 pairs
SKSQHKHQCK	(4) full house
SKSQHKHQCQ	(4) full house
SKSQHKHQCJ	(7) 2 pairs
SKSQHKHQDA	(7) 2 pairs
SKSQHKHQDK	(4) full house
SKSQHKHQDQ	(4) full house
SKSQHKHQDJ	(7) 2 pairs
SKSQHKHJCA	(8) 1 pair
SKSQHKHJCK	(6) 3 cards
SKSQHKHJCQ	(7) 2 pairs
SKSQHKHJCJ	(7) 2 pairs
SKSQHKHJDA	(8) 1 pair
SKSQHKHJDK	(6) 3 cards
SKSQHKHJDQ	(7) 2 pairs
SKSQHKHJDJ	(7) 2 pairs
SKSQHKCACK	(6) 3 cards
SKSQHKCACQ	(7) 2 pairs
SKSQHKCACJ	(8) 1 pair
SKSQHKCADA	(7) 2 pairs
SKSQHKCADK	(6) 3 cards
SKSQHKCADQ	(7) 2 pairs
SKSQHKCADJ	(8) 1 pair
SKSQHKCKCQ	(4) full house
SKSQHKCKCJ	(6) 3 cards
SKSQHKCKDA	(6) 3 cards
SKSQHKCKDK	(3) 4 cards!
SKSQHKCKDQ	(4) full house
SKSQHKCKDJ	(6) 3 cards
SKSQHKCQCJ	(7) 2 pairs
SKSQHKCQDA	(7) 2 pairs
SKSQHKCQDK	(4) full house
SKSQHKCQDQ	(4) full house
SKSQHKCQDJ	(7) 2 pairs
SKSQHKCJDA	(8) 1 pair
SKSQHKCJDK	(6) 3 cards
SKSQHKCJDQ	(7) 2 pairs
SKSQHKCJDJ	(7) 2 pairs
SKSQHKDADK	(6) 3 cards
SKSQHKDADQ	(7) 2 pairs
SKSQHKDADJ	(8) 1 pair
SKSQHKDKDQ	(4) full house
SKSQHKDKDJ	(6) 3 cards
SKSQHKDQDJ	(7) 2 pairs
SKSQHQHJCA	(8) 1 pair
SKSQHQHJCK	(7) 2 pairs
SKSQHQHJCQ	(6) 3 cards
SKSQHQHJCJ	(7) 2 pairs
SKSQHQHJDA	(8) 1 pair
SKSQHQHJDK	(7) 2 pairs
SKSQHQHJDQ	(6) 3 cards
SKSQHQHJDJ	(7) 2 pairs
SKSQHQCACK	(7) 2 pairs
SKSQHQCACQ	(6) 3 cards
SKSQHQCACJ	(8) 1 pair
SKSQHQCADA	(7) 2 pairs
SKSQHQCADK	(7) 2 pairs
SKSQHQCADQ	(6) 3 cards
SKSQHQCADJ	(8) 1 pair
SKSQHQCKCQ	(4) full house
SKSQHQCKCJ	(7) 2 pairs
SKSQHQCKDA	(7) 2 pairs
SKSQHQCKDK	(4) full house
SKSQHQCKDQ	(4) full house
SKSQHQCKDJ	(7) 2 pairs
SKSQHQCQCJ	(6) 3 cards
SKSQHQCQDA	(6) 3 cards
SKSQHQCQDK	(4) full house
SKSQHQCQDQ	(3) 4 cards!
SKSQHQCQDJ	(6) 3 cards
SKSQHQCJDA	(8) 1 pair
SKSQHQCJDK	(7) 2 pairs
SKSQHQCJDQ	(6) 3 cards
SKSQHQCJDJ	(7) 2 pairs
SKSQHQDADK	(7) 2 pairs
SKSQHQDADQ	(6) 3 cards
SKSQHQDADJ	(8) 1 pair
SKSQHQDKDQ	(4) full house
SKSQHQDKDJ	(7) 2 pairs
SKSQHQDQDJ	(6) 3 cards
SKSQHJCACK	(8) 1 pair
SKSQHJCACQ	(8) 1 pair
SKSQHJCACJ	(8) 1 pair
SKSQHJCADA	(8) 1 pair
SKSQHJCADK	(8) 1 pair
SKSQHJCADQ	(8) 1 pair
SKSQHJCADJ	(8) 1 pair
SKSQHJCKCQ	(7) 2 pairs
SKSQHJCKCJ	(7) 2 pairs
SKSQHJCKDA	(8) 1 pair
SKSQHJCKDK	(6) 3 cards
SKSQHJCKDQ	(7) 2 pairs
SKSQHJCKDJ	(7) 2 pairs
SKSQHJCQCJ	(7) 2 pairs
SKSQHJCQDA	(8) 1 pair
SKSQHJCQDK	(7) 2 pairs
SKSQHJCQDQ	(6) 3 cards
SKSQHJCQDJ	(7) 2 pairs
SKSQHJCJDA	(8) 1 pair
SKSQHJCJDK	(7) 2 pairs
SKSQHJCJDQ	(7) 2 pairs
SKSQHJCJDJ	(6) 3 cards
SKSQHJDADK	(8) 1 pair
SKSQHJDADQ	(8) 1 pair
SKSQHJDADJ	(8) 1 pair
SKSQHJDKDQ	(7) 2 pairs
SKSQHJDKDJ	(7) 2 pairs
SKSQHJDQDJ	(7) 2 pairs
SKSQCACKCQ	(7) 2 pairs
SKSQCACKCJ	(8) 1 pair
SKSQCACKDA	(7) 2 pairs
SKSQCACKDK	(6) 3 cards
SKSQCACKDQ	(7) 2 pairs
SKSQCACKDJ	(8) 1 pair
SKSQCACQCJ	(8) 1 pair
SKSQCACQDA	(7) 2 pairs
SKSQCACQDK	(7) 2 pairs
SKSQCACQDQ	(6) 3 cards
SKSQCACQDJ	(8) 1 pair
SKSQCACJDA	(8) 1 pair
SKSQCACJDK	(8) 1 pair
SKSQCACJDQ	(8) 1 pair
SKSQCACJDJ	(8) 1 pair
SKSQCADADK	(7) 2 pairs
SKSQCADADQ	(7) 2 pairs
SKSQCADADJ	(8) 1 pair
SKSQCADKDQ	(7) 2 pairs
SKSQCADKDJ	(8) 1 pair
SKSQCADQDJ	(8) 1 pair
SKSQCKCQCJ	(7) 2 pairs
SKSQCKCQDA	(7) 2 pairs
SKSQCKCQDK	(4) full house
SKSQCKCQDQ	(4) full house
SKSQCKCQDJ	(7) 2 pairs
SKSQCKCJDA	(8) 1 pair
SKSQCKCJDK	(6) 3 cards
SKSQCKCJDQ	(7) 2 pairs
SKSQCKCJDJ	(7) 2 pairs
SKSQCKDADK	(6) 3 cards
SKSQCKDADQ	(7) 2 pairs
SKSQCKDADJ	(8) 1 pair
SKSQCKDKDQ	(4) full house
SKSQCKDKDJ	(6) 3 cards
SKSQCKDQDJ	(7) 2 pairs
SKSQCQCJDA	(8) 1 pair
SKSQCQCJDK	(7) 2 pairs
SKSQCQCJDQ	(6) 3 cards
SKSQCQCJDJ	(7) 2 pairs
SKSQCQDADK	(7) 2 pairs
SKSQCQDADQ	(6) 3 cards
SKSQCQDADJ	(8) 1 pair
SKSQCQDKDQ	(4) full house
SKSQCQDKDJ	(7) 2 pairs
SKSQCQDQDJ	(6) 3 cards
SKSQCJDADK	(8) 1 pair
SKSQCJDADQ	(8) 1 pair
SKSQCJDADJ	(8) 1 pair
SKSQCJDKDQ	(7) 2 pairs
SKSQCJDKDJ	(7) 2 pairs
SKSQCJDQDJ	(7) 2 pairs
SKSQDADKDQ	(7) 2 pairs
SKSQDADKDJ	(8) 1 pair
SKSQDADQDJ	(8) 1 pair
SKSQDKDQDJ	(7) 2 pairs
SKSJHAHKHQ	(8) 1 pair
SKSJHAHKHJ	(7) 2 pairs
SKSJHAHKCA	(7) 2 pairs
SKSJHAHKCK	(6) 3 cards
SKSJHAHKCQ	(8) 1 pair
SKSJHAHKCJ	(7) 2 pairs
SKSJHAHKDA	(7) 2 pairs
SKSJHAHKDK	(6) 3 cards
SKSJHAHKDQ	(8) 1 pair
SKSJHAHKDJ	(7) 2 pairs
SKSJHAHQHJ	(8) 1 pair
SKSJHAHQCA	(8) 1 pair
SKSJHAHQCK	(8) 1 pair
SKSJHAHQCQ	(8) 1 pair
SKSJHAHQCJ	(8) 1 pair
SKSJHAHQDA	(8) 1 pair
SKSJHAHQDK	(8) 1 pair
SKSJHAHQDQ	(8) 1 pair
SKSJHAHQDJ	(8) 1 pair
SKSJHAHJCA	(7) 2 pairs
SKSJHAHJCK	(7) 2 pairs
SKSJHAHJCQ	(8) 1 pair
SKSJHAHJCJ	(6) 3 cards
SKSJHAHJDA	(7) 2 pairs
SKSJHAHJDK	(7) 2 pairs
SKSJHAHJDQ	(8) 1 pair
SKSJHAHJDJ	(6) 3 cards
SKSJHACACK	(7) 2 pairs
SKSJHACACQ	(8) 1 pair
SKSJHACACJ	(7) 2 pairs
SKSJHACADA	(6) 3 cards
SKSJHACADK	(7) 2 pairs
SKSJHACADQ	(8) 1 pair
SKSJHACADJ	(7) 2 pairs
SKSJHACKCQ	(8) 1 pair
SKSJHACKCJ	(7) 2 pairs
SKSJHACKDA	(7) 2 pairs
SKSJHACKDK	(6) 3 cards
SKSJHACKDQ	(8) 1 pair
SKSJHACKDJ	(7) 2 pairs
SKSJHACQCJ	(8) 1 pair
SKSJHACQDA	(8) 1 pair
SKSJHACQDK	(8) 1 pair
SKSJHACQDQ	(8) 1 pair
SKSJHACQDJ	(8) 1 pair
SKSJHACJDA	(7) 2 pairs
SKSJHACJDK	(7) 2 pairs
SKSJHACJDQ	(8) 1 pair
SKSJHACJDJ	(6) 3 cards
SKSJHADADK	(7) 2 pairs
SKSJHADADQ	(8) 1 pair
SKSJHADADJ	(7) 2 pairs
SKSJHADKDQ	(8) 1 pair
SKSJHADKDJ	(7) 2 pairs
SKSJHADQDJ	(8) 1 pair
SKSJHKHQHJ	(7) 2 pairs
SKSJHKHQCA	(8) 1 pair
SKSJHKHQCK	(6) 3 cards
SKSJHKHQCQ	(7) 2 pairs
SKSJHKHQCJ	(7) 2 pairs
SKSJHKHQDA	(8) 1 pair
SKSJHKHQDK	(6) 3 cards
SKSJHKHQDQ	(7) 2 pairs
SKSJHKHQDJ	(7) 2 pairs
SKSJHKHJCA	(7) 2 pairs
SKSJHKHJCK	(4) full house
SKSJHKHJCQ	(7) 2 pairs
SKSJHKHJCJ	(4) full house
SKSJHKHJDA	(7) 2 pairs
SKSJHKHJDK	(4) full house
SKSJHKHJDQ	(7) 2 pairs
SKSJHKHJDJ	(4) full house
SKSJHKCACK	(6) 3 cards
SKSJHKCACQ	(8) 1 pair
SKSJHKCACJ	(7) 2 pairs
SKSJHKCADA	(7) 2 pairs
SKSJHKCADK	(6) 3 cards
SKSJHKCADQ	(8) 1 pair
SKSJHKCADJ	(7) 2 pairs
SKSJHKCKCQ	(6) 3 cards
SKSJHKCKCJ	(4) full house
SKSJHKCKDA	(6) 3 cards
SKSJHKCKDK	(3) 4 cards!
SKSJHKCKDQ	(6) 3 cards
SKSJHKCKDJ	(4) full house
SKSJHKCQCJ	(7) 2 pairs
SKSJHKCQDA	(8) 1 pair
SKSJHKCQDK	(6) 3 cards
SKSJHKCQDQ	(7) 2 pairs
SKSJHKCQDJ	(7) 2 pairs
SKSJHKCJDA	(7) 2 pairs
SKSJHKCJDK	(4) full house
